Age,Occupation,Investment Goals,Income Level,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Loan Purpose,Employment Status,Loan Term (Months),Interest Rate,Loan Status,Risk Score,Risk Level
40,Lawyer,Wealth Preservation,46044.94,44653.26,9156.01,9327.7,3647.92,82.8,8729.3,27010.93,Medical Expenses,Retired,36,11.94,pending,4,Low
30,Teacher,Wealth Preservation,57169.5,29175.47,5933.22,8671.6,6729.86,819.69,4545.18,31266.97,Auto Purchase,Retired,36,8.08,approved,4,Low
37,Teacher,Speculation,71760.86,86141.59,22583.11,16468.58,6032.53,1526.33,8251.45,41260.58,Auto Purchase,Employed,12,13.07,pending,5,Medium
27,Student,Speculation,-25488.15,1000.0,299.47,289.09,109.83,3.51,195.73,5000.0,Small Business,Retired,60,6.73,approved,3,Low
36,Engineer,Income Generation,106777.95,77918.97,13853.25,22699.32,12189.32,2152.51,9725.21,50000.0,Medical Expenses,Employed,24,10.6,approved,6,Medium
77,Doctor,Income Generation,59157.22,61520.73,22052.86,16970.19,10103.04,1184.45,4842.19,50000.0,Small Business,Retired,24,12.57,pending,4,Low
70,Student,Speculation,120054.43,100000.0,23213.91,27510.89,11522.77,956.09,20114.44,50000.0,Medical Expenses,Employed,24,9.9,approved,5,Medium
45,Retiree,Income Generation,65951.25,44295.27,14801.56,2304.52,8689.94,932.66,3314.1,34650.35,Debt Consolidation,Self-Employed,48,11.13,pending,5,Medium
56,Retiree,Income Generation,9928.91,19782.88,6407.61,4823.8,1195.18,165.64,2061.49,8652.23,Home Improvement,Employed,48,9.12,pending,1,Low
61,Retiree,Wealth Preservation,93274.16,48927.6,22156.23,10019.27,11578.01,1080.14,5556.28,17751.38,Auto Purchase,Employed,12,8.79,pending,2,Low
75,Artist,Speculation,48777.9,96838.44,13572.36,14010.24,12001.37,843.58,6990.32,18660.22,Debt Consolidation,Employed,48,9.91,pending,1,Low
55,Retiree,Income Generation,79685.22,100000.0,26927.25,29938.09,8591.9,525.49,6106.05,50000.0,Small Business,Unemployed,36,13.23,pending,4,Low
50,Teacher,Wealth Preservation,79642.74,100000.0,47527.94,20277.18,9533.68,2542.3,20108.02,50000.0,Small Business,Unemployed,24,13.75,rejected,5,Medium
44,Teacher,Growth,71423.26,69271.93,23958.25,12616.37,15176.88,3385.49,5820.51,45267.81,Debt Consolidation,Employed,24,11.89,rejected,5,Medium
69,Teacher,Growth,76081.96,8235.63,2937.37,1657.03,871.39,36.38,2746.74,41476.18,Small Business,Self-Employed,48,10.93,approved,4,Low
24,Doctor,Speculation,91941.8,28911.2,6473.29,5427.01,4418.87,1010.9,1775.84,50000.0,Small Business,Retired,12,14.58,pending,6,Medium
73,Teacher,Income Generation,45627.28,13803.33,1633.94,4037.84,1088.65,232.03,912.03,50000.0,Home Improvement,Self-Employed,36,11.01,approved,3,Low
39,Retiree,Speculation,74194.86,26463.73,12556.81,4307.69,5194.03,1534.67,2607.53,42328.16,Home Improvement,Self-Employed,48,9.24,approved,4,Low
78,Engineer,Wealth Preservation,50479.3,13317.4,4211.68,2346.17,2821.16,3.31,2183.98,50000.0,Small Business,Employed,60,12.86,rejected,4,Low
84,Retiree,Wealth Preservation,58640.56,72885.49,22756.01,21086.71,10629.87,455.15,22369.28,27212.74,Debt Consolidation,Unemployed,12,8.35,approved,4,Low
51,Artist,Speculation,54360.16,24395.92,7691.68,5158.36,4156.37,180.63,3829.59,50000.0,Debt Consolidation,Self-Employed,24,13.06,rejected,4,Low
53,Teacher,Wealth Preservation,71840.05,94302.6,28447.59,11710.05,16394.0,840.63,32620.76,50000.0,Home Improvement,Retired,60,14.03,rejected,5,Medium
60,Engineer,Growth,47649.79,94400.83,27493.93,20428.22,10403.07,1769.99,17067.74,6087.6,Debt Consolidation,Employed,60,8.02,rejected,1,Low
27,Teacher,Growth,56306.58,47787.85,12681.78,6247.25,10199.7,1146.48,9541.57,50000.0,Home Improvement,Unemployed,36,13.82,pending,6,Medium
70,Artist,Income Generation,67516.03,35837.63,17478.14,3958.75,5772.03,667.14,10777.33,43398.33,Home Improvement,Retired,48,13.56,rejected,4,Low
50,Retiree,Wealth Preservation,79591.66,100000.0,40445.62,9924.96,13286.58,1424.25,25141.66,37365.31,Medical Expenses,Retired,60,10.52,rejected,5,Medium
85,Student,Growth,28295.77,12176.26,1913.98,3580.41,2941.25,627.07,2104.62,29626.98,Small Business,Employed,12,9.17,approved,2,Low
43,Artist,Wealth Preservation,66616.56,9300.57,4580.95,905.83,1875.12,239.74,717.87,50000.0,Small Business,Self-Employed,60,12.62,rejected,5,Medium
77,Engineer,Income Generation,56181.95,91997.8,13196.44,10630.77,10449.7,2595.08,6409.27,36721.87,Home Improvement,Unemployed,48,8.34,approved,3,Low
64,Teacher,Income Generation,99192.49,100000.0,30857.63,25894.1,17595.65,1198.63,5448.65,50000.0,Small Business,Self-Employed,48,9.6,approved,3,Low
61,Engineer,Wealth Preservation,88941.51,100000.0,12025.25,21662.7,6638.52,1459.39,5026.06,50000.0,Debt Consolidation,Retired,60,9.29,approved,3,Low
74,Engineer,Income Generation,28121.71,30728.08,3248.45,7514.49,6653.32,1126.29,4666.54,10534.4,Small Business,Retired,24,6.44,approved,1,Low
52,Artist,Growth,110564.54,100000.0,45803.34,19776.5,11838.4,2019.44,13849.15,50000.0,Small Business,Self-Employed,48,13.38,pending,5,Medium
35,Lawyer,Speculation,104698.91,100000.0,46957.87,27563.8,8534.06,1667.06,22641.21,50000.0,Auto Purchase,Unemployed,24,9.29,approved,6,Medium
39,Retiree,Income Generation,52658.69,25224.15,8078.21,7505.85,2795.37,241.53,2290.33,20612.83,Home Improvement,Retired,24,7.1,approved,4,Low
26,Student,Wealth Preservation,75347.91,80806.06,37599.91,10385.04,16642.34,2535.55,4957.91,50000.0,Auto Purchase,Unemployed,48,13.06,pending,6,Medium
40,Retiree,Wealth Preservation,40550.76,42855.5,4670.07,2539.71,9057.61,1308.92,3747.99,29946.28,Small Business,Employed,24,12.04,pending,4,Low
36,Artist,Growth,57000.25,45280.68,12455.61,11792.15,10754.47,1914.46,3834.92,50000.0,Debt Consolidation,Retired,48,10.79,approved,5,Medium
25,Teacher,Wealth Preservation,-7406.07,1000.0,363.68,209.3,118.03,27.52,94.75,5000.0,Small Business,Employed,48,9.01,rejected,3,Low
75,Engineer,Growth,123100.16,100000.0,27264.37,15459.07,5789.51,1637.68,33202.7,50000.0,Medical Expenses,Employed,60,10.91,approved,6,Medium
72,Artist,Wealth Preservation,93237.03,67571.81,32828.85,4842.87,5885.24,1445.6,12579.43,28298.93,Debt Consolidation,Self-Employed,48,7.52,approved,3,Low
24,Engineer,Income Generation,32734.8,10466.2,5187.25,718.57,2555.43,278.7,906.79,5000.0,Debt Consolidation,Retired,24,6.22,approved,3,Low
61,Retiree,Income Generation,86630.51,100000.0,25459.14,10880.08,10963.18,1134.32,39793.62,50000.0,Small Business,Retired,24,11.52,approved,5,Medium
21,Doctor,Wealth Preservation,71106.39,100000.0,29070.78,11616.09,7839.13,1169.46,10817.62,45680.51,Debt Consolidation,Employed,60,12.19,pending,6,Medium
41,Student,Wealth Preservation,63168.62,78928.63,12043.98,23442.02,10037.67,1598.38,6132.38,50000.0,Auto Purchase,Employed,12,14.16,rejected,5,Medium
18,Artist,Speculation,128564.64,100000.0,32224.73,7813.83,11894.19,2066.01,24564.9,50000.0,Medical Expenses,Unemployed,12,14.19,rejected,8,High
81,Engineer,Income Generation,86608.45,100000.0,45551.8,25502.5,18579.25,1782.75,15309.22,50000.0,Medical Expenses,Employed,48,9.78,approved,3,Low
63,Doctor,Growth,72209.06,99061.16,47932.11,21010.62,15641.68,1344.55,14914.36,50000.0,Auto Purchase,Self-Employed,24,11.97,pending,4,Low
77,Artist,Speculation,51520.09,76503.23,11911.05,13048.4,13059.56,1050.6,10576.35,50000.0,Home Improvement,Self-Employed,24,10.92,approved,4,Low
82,Retiree,Growth,74093.44,67662.83,13925.29,9019.62,14616.34,78.27,12326.01,50000.0,Small Business,Retired,48,11.15,approved,4,Low
21,Doctor,Speculation,21620.55,3406.53,914.68,747.53,529.47,28.49,644.22,8983.95,Home Improvement,Retired,36,8.91,pending,3,Low
78,Retiree,Growth,136519.38,100000.0,26547.41,24769.77,24131.11,1588.71,16003.29,50000.0,Debt Consolidation,Self-Employed,36,9.79,approved,4,Low
28,Teacher,Income Generation,86744.23,19192.65,3923.48,3957.65,3995.47,952.15,6877.13,50000.0,Auto Purchase,Retired,48,11.3,approved,6,Medium
65,Doctor,Growth,101013.52,100000.0,39074.05,22866.07,13658.77,1245.12,17059.67,50000.0,Small Business,Employed,48,13.44,pending,5,Medium
66,Student,Wealth Preservation,59733.23,63924.52,17653.74,11937.24,12571.88,3427.86,8763.53,37522.21,Debt Consolidation,Unemployed,48,12.54,rejected,4,Low
62,Engineer,Income Generation,31918.08,21517.86,9096.18,6386.3,4529.25,254.11,4274.67,32655.1,Small Business,Self-Employed,12,8.69,approved,2,Low
83,Lawyer,Growth,68489.68,56627.54,26085.6,12780.61,7844.81,1917.72,7336.06,24044.44,Home Improvement,Retired,24,11.56,rejected,4,Low
27,Retiree,Income Generation,63823.88,100000.0,43369.56,13654.95,13866.69,361.4,10266.52,19544.35,Small Business,Retired,24,9.0,rejected,4,Low
35,Teacher,Income Generation,50745.29,46201.88,15762.96,12144.66,10773.85,1930.74,5560.59,42699.27,Debt Consolidation,Retired,60,12.67,rejected,5,Medium
66,Teacher,Growth,59207.13,61127.52,29127.49,13867.14,6447.83,1294.61,4420.31,50000.0,Small Business,Self-Employed,12,11.32,approved,4,Low
19,Engineer,Speculation,66091.97,74272.76,25222.41,3716.03,3979.58,1118.84,4543.54,14287.84,Debt Consolidation,Employed,12,7.61,approved,4,Low
60,Retiree,Speculation,83443.47,70323.55,11091.73,6017.42,3578.98,11.65,6326.56,11135.48,Home Improvement,Employed,36,8.34,pending,2,Low
33,Engineer,Wealth Preservation,41569.74,26387.63,8293.84,4974.39,5524.37,292.58,6970.59,50000.0,Small Business,Employed,60,14.61,rejected,4,Low
54,Engineer,Income Generation,94816.12,22464.95,8233.2,1854.52,3933.68,1006.24,4336.55,46653.74,Auto Purchase,Employed,36,13.54,rejected,4,Low
61,Lawyer,Income Generation,105725.4,98700.49,19388.12,14376.82,17553.54,816.82,14341.17,46645.26,Medical Expenses,Unemployed,60,10.25,approved,5,Medium
52,Teacher,Wealth Preservation,65363.11,66748.0,11866.75,7933.4,15071.29,513.81,6828.56,24192.11,Debt Consolidation,Employed,48,6.97,approved,3,Low
35,Artist,Speculation,61028.36,100000.0,49930.22,16523.52,11123.85,1760.13,16140.21,50000.0,Small Business,Unemployed,36,13.84,rejected,5,Medium
76,Engineer,Income Generation,58416.34,83583.56,32901.06,5511.48,10539.58,262.44,8894.37,49076.93,Auto Purchase,Employed,48,10.34,approved,4,Low
23,Artist,Income Generation,52274.32,11608.15,3045.05,964.82,1966.01,123.71,1032.9,6563.47,Small Business,Unemployed,36,9.88,pending,4,Low
25,Engineer,Income Generation,55950.04,11833.76,5248.19,2585.08,2641.64,314.86,4323.9,50000.0,Auto Purchase,Retired,48,10.29,approved,6,Medium
