Company,Date,Day Close,Prev Close,Turnover,Change (%)
ASIA ASSET,02-Jan-23,7.7,8,8,-3.75
ASIA ASSET,03-Jan-23,7.7,7.9,"78,909.90",-2.5316
ASIA ASSET,04-Jan-23,7.6,7.6,"76,078.00",0
ASIA ASSET,05-Jan-23,7.6,7.8,397.8,-2.5641
ASIA ASSET,09-Jan-23,8.5,7.5,"1,595,930.90",13.3333
ASIA ASSET,10-Jan-23,8.5,8.5,"98,985.40",0
ASIA ASSET,11-Jan-23,8,7.8,"10,689.00",2.5641
ASIA ASSET,12-Jan-23,8,8,"1,590.00",0
ASIA ASSET,13-Jan-23,8,8.1,222.9,-1.2346
ASIA ASSET,17-Jan-23,8,7.8,"223,600.10",2.5641
ASIA ASSET,18-Jan-23,8,7.8,"3,278.00",2.5641
ASIA ASSET,19-Jan-23,7.7,7.8,"180,463.00",-1.2821
ASIA ASSET,20-Jan-23,8.7,7.9,"1,828,289.70",10.1266
ASIA ASSET,23-Jan-23,8.9,8.6,"678,106.80",3.4884
ASIA ASSET,24-Jan-23,8.4,8.9,"42,582.10",-5.618
ASIA ASSET,25-Jan-23,8.4,8.4,430.8,0
ASIA ASSET,26-Jan-23,8.2,8.5,"89,650.80",-3.5294
ASIA ASSET,27-Jan-23,8,8.2,"172,951.60",-2.439
ASIA ASSET,30-Jan-23,8.3,8.3,"1,144,846.40",0
ASIA ASSET,31-Jan-23,8,8.1,"1,040,398.30",-1.2346
ASIA ASSET,01-Feb-23,8,8,"2,288,464.00",0
ASIA ASSET,02-Feb-23,8,8,"153,200.00",0
ASIA ASSET,03-Feb-23,8,8.1,"1,241,769.10",-1.2346
ASIA ASSET,06-Feb-23,8,8.2,65.6,-2.439
ASIA ASSET,07-Feb-23,7.7,8,"190,518.90",-3.75
ASIA ASSET,08-Feb-23,7.8,7.8,"7,956.00",0
ASIA ASSET,09-Feb-23,7.8,7.8,47,0
ASIA ASSET,10-Feb-23,8.2,8,"790,843.90",2.5
ASIA ASSET,13-Feb-23,8,8,"296,836.70",0
ASIA ASSET,14-Feb-23,7.8,8,"53,691.60",-2.5
ASIA ASSET,15-Feb-23,7.9,7.8,"28,295.80",1.2821
ASIA ASSET,16-Feb-23,7.8,7.8,"46,800.00",0
ASIA ASSET,17-Feb-23,8.1,8,"6,997.00",1.25
ASIA ASSET,20-Feb-23,8,8.3,"41,245.00",-3.6145
ASIA ASSET,21-Feb-23,8,8.2,"12,003.70",-2.439
ASIA ASSET,23-Feb-23,8,8.1,575.1,-1.2346
ASIA ASSET,24-Feb-23,7.9,7.9,"78,069.10",0
ASIA ASSET,27-Feb-23,8.3,8,"285,685.10",3.75
ASIA ASSET,28-Feb-23,8.1,8,"30,918.00",1.25
ASIA ASSET,01-Mar-23,8.3,8.2,"15,827.40",1.2195
ASIA ASSET,02-Mar-23,8.3,8.2,"2,239.00",1.2195
ASIA ASSET,03-Mar-23,8.2,8.1,"249,550.00",1.2346
ASIA ASSET,07-Mar-23,8.3,8.3,"44,570.00",0
ASIA ASSET,08-Mar-23,8.4,8.1,"67,071.90",3.7037
ASIA ASSET,09-Mar-23,8.5,8.4,"10,593.10",1.1905
ASIA ASSET,10-Mar-23,8.4,8.4,"8,400.00",0
ASIA ASSET,14-Mar-23,7.8,8.4,"22,980.20",-7.1429
ASIA ASSET,15-Mar-23,7.8,8.2,8.2,-4.878
ASIA ASSET,16-Mar-23,7.9,8.2,"16,654.50",-3.6585
ASIA ASSET,17-Mar-23,8,8,"21,770.00",0
ASIA ASSET,20-Mar-23,7.9,8,"43,626.90",-1.25
ASIA ASSET,21-Mar-23,8,8.2,"73,254.00",-2.439
ASIA ASSET,22-Mar-23,8,8,"102,064.80",0
ASIA ASSET,23-Mar-23,8.1,8.1,"110,054.70",0
ASIA ASSET,24-Mar-23,8.1,8.2,24.6,-1.2195
ASIA ASSET,27-Mar-23,8,8.2,"203,136.40",-2.439
ASIA ASSET,28-Mar-23,8,8.2,410,-2.439
ASIA ASSET,30-Mar-23,8.3,8.1,"587,490.60",2.4691
ASIA ASSET,31-Mar-23,8.3,8.2,41,1.2195
ASIA ASSET,03-Apr-23,8,8.1,"160,000.50",-1.2346
ASIA ASSET,04-Apr-23,7.8,7.8,990.6,0
ASIA ASSET,06-Apr-23,7.8,7.8,39,0
ASIA ASSET,10-Apr-23,8.1,7.9,"2,692.70",2.5316
ASIA ASSET,11-Apr-23,8.1,8.1,"2,002.00",0
ASIA ASSET,12-Apr-23,7.8,8.3,"27,726.20",-6.0241
ASIA ASSET,17-Apr-23,8.2,7.9,"257,480.00",3.7975
ASIA ASSET,18-Apr-23,8.1,8.1,"30,772.40",0
ASIA ASSET,19-Apr-23,7.9,7.9,"12,245.00",0
ASIA ASSET,20-Apr-23,8.2,8.2,"123,016.60",0
ASIA ASSET,21-Apr-23,8.2,8.2,"20,609.10",0
ASIA ASSET,24-Apr-23,8.5,8.3,"651,426.90",2.4096
ASIA ASSET,25-Apr-23,8.5,8.3,"148,894.70",2.4096
ASIA ASSET,26-Apr-23,8,8.5,"169,156.90",-5.8824
ASIA ASSET,27-Apr-23,8.5,8,"1,480,432.90",6.25
ASIA ASSET,28-Apr-23,8.5,8.4,"140,088.00",1.1905
ASIA ASSET,03-May-23,8.5,8.5,"380,268.60",0
ASIA ASSET,04-May-23,8.5,8.5,"526,685.50",0
ASIA ASSET,08-May-23,8.5,8.5,"216,777.10",0
ASIA ASSET,09-May-23,8.6,8.1,"4,308.10",6.1728
ASIA ASSET,10-May-23,8.5,8.5,"169,991.20",0
ASIA ASSET,11-May-23,8.6,8.2,"112,940.00",4.878
ASIA ASSET,12-May-23,8.6,8.6,295,0
ASIA ASSET,16-May-23,8.5,8.5,"85,008.50",0
ASIA ASSET,18-May-23,8.5,8.5,"495,944.00",0
ASIA ASSET,19-May-23,8.1,8.6,"139,830.00",-5.814
ASIA ASSET,22-May-23,8.5,8.5,"935,945.00",0
ASIA ASSET,23-May-23,8.6,8.6,"95,898.50",0
ASIA ASSET,25-May-23,8.5,8.5,"429,846.00",0
ASIA ASSET,30-May-23,8.1,8.1,"40,500.00",0
ASIA ASSET,31-May-23,8.1,8.1,"1,020.80",0
ASIA ASSET,05-Jun-23,8.1,8.1,"50,220.00",0
ASIA ASSET,06-Jun-23,8,8.1,"326,086.00",-1.2346
ASIA ASSET,07-Jun-23,8,8,"8,280.00",0
ASIA ASSET,08-Jun-23,8.3,8.3,"1,054.10",0
ASIA ASSET,09-Jun-23,8.3,8.1,"12,100.40",2.4691
ASIA ASSET,12-Jun-23,8.4,8.4,"76,376.50",0
ASIA ASSET,13-Jun-23,8.5,8.2,"238,865.00",3.6585
ASIA ASSET,14-Jun-23,8.2,8.5,"5,728.50",-3.5294
ASIA ASSET,15-Jun-23,7.9,8.2,"72,972.40",-3.6585
ASIA ASSET,16-Jun-23,8,8,"76,217.20",0
